"id_carros","marca","placa","modelo"
"2","Chevrolet","OAV2Q94","Onix"
"3","Chevrolet","SKC8F91","Cruze"
"4","Chevrolet","EUV9C25","Tracker"
"5","Volkswagen","CNB8E80","Gol"
"6","Volkswagen","WHQ4A54","Polo"
"7","Volkswagen","ZJC8V88","T-Cross"
"8","Fiat","RGG9K28","Argo"
"9","Fiat","BCO7G81","Pulse"
"10","Fiat","DEV1F82","Cronos"
"11","Hyundai","LEY6W86","HB20"
"12","Hyundai","JOT5T54","Creta"
"13","Hyundai","CDE7M75","Tucson"
"14","Toyota","DZH5O67","Corolla"
"15","Toyota","AGI7P92","Hilux"
"16","Toyota","LDV5W82","RAV4"
"17","Honda","QVT9H95","Civic"
"18","Honda","ZOL5I21","HR-V"
"19","Honda","XFZ9B82","Fit"
"20","Renault","QWP2G38","Kwid"
"21","Renault","KMQ6P63","Sandero"
"22","Renault","FHW6V51","Duster"
"23","Jeep","TSQ1U35","Renegade"
"24","Jeep","GNS7J59","Compass"
"25","Jeep","XVE8H88","Commander"
"26","Ford","BEC7F45","Ka"
"27","Ford","LJC4Q73","EcoSport"
"28","Ford","QRP7R41","Ranger"
"29","Nissan","IEI4Y90","Kicks"
"30","Nissan","BCU2B31","Versa"
"31","Nissan","DVD3H81","Frontier"
"32","Peugeot","NZD4G74","208"
"33","Peugeot","VWN2F53","2008"
"34","Mitsubishi","PVL3I69","Eclipse Cross"
"35","Kia","JKX8J62","Sportage"
"36","Kia","AAB5Y75","Stinger"
"37","BMW","MRK0C65","320i"
"38","Mercedes-Benz","EHU8R01","C200"
"39","Audi","MNS9X35","A3"
"40","Volkswagen","LJY2D86","Virtus"
"41","Chevrolet","VIN9L83","S10"
"42","Fiat","OII2U64","Strada"
"43","Toyota","BEY6T57","Yaris"
"44","Honda","HJD0V55","City"
"45","Hyundai","VTA8P22","i30"
"46","Volkswagen","FMT4V89","Nivus"
"47","Fiat","VSL2T81","Toro"
"48","Jeep","PIF1D46","Grand Cherokee"
"49","Chevrolet","ZUB3N04","Spin"
"50","Ford","PVI2M98","Territory"
"51","Renault","CBQ3K18","Captur"
"id_funcionarios","nome","data_nascimento"
"1","Carlos Silva","1985-03-12"
"2","Mariana Souza","1990-07-25"
"3","João Pereira","1978-11-03"
"4","Ana Oliveira","1995-01-18"
"5","Fernando Costa","1982-09-30"
"6","Juliana Martins","1988-06-14"
"7","Ricardo Alves","1975-12-22"
"8","Patrícia Gomes","1992-04-09"
"9","Bruno Rocha","1987-08-17"
"10","Camila Ribeiro","1999-02-05"
"11","maria","2008-02-01"
"id_pessoas","nome","cpf","idade","genero"
"2","Ana Silva","813.720.634-5","66","Feminino"
"3","Bruno Souza","702.745.893-4","46","Masculino"
"4","Carlos Oliveira","849.817.634-4","46","Masculino"
"5","Daniela Santos","423.299.088-7","33","Feminino"
"6","Eduardo Lima","398.969.287-9","42","Masculino"
"7","Fernanda Costa","577.021.607-7","44","Feminino"
"8","Gabriel Pereira","838.989.947-7","36","Masculino"
"9","Helena Martins","133.487.387-9","44","Feminino"
"10","Igor Alves","288.846.525-6","21","Masculino"
"11","Juliana Rocha","287.059.102-0","18","Feminino"
"12","Kevin Fernandes","172.811.344-0","30","Masculino"
"13","Larissa Gomes","435.129.577-5","69","Feminino"
"14","Marcos Ribeiro","017.847.573-4","33","Masculino"
"15","Natalia Carvalho","575.946.441-8","27","Feminino"
"16","Otávio Mendes","824.527.442-9","28","Masculino"
"17","Patricia Araujo","079.920.925-2","18","Feminino"
"18","Rafael Teixeira","913.433.701-6","63","Masculino"
"19","Sabrina Lopes","841.514.275-7","61","Feminino"
"20","Thiago Barros","998.709.593-3","64","Masculino"
"21","Vanessa Pinto","584.547.947-9","57","Feminino"
"22","André Nascimento","372.410.424-3","56","Masculino"
"23","Beatriz Cardoso","463.558.839-4","46","Feminino"
"24","César Moreira","528.914.971-6","37","Masculino"
"25","Diana Freitas","694.369.012-4","55","Feminino"
"26","Emilio Castro","775.997.375-6","32","Masculino"
"27","Fabiana Melo","765.334.620-0","40","Feminino"
"28","Gustavo Nunes","079.924.548-8","33","Masculino"
"29","Helena Vieira","302.959.493-9","35","Feminino"
"30","Ivan Correia","547.745.619-1","55","Masculino"
"31","Jéssica Monteiro","356.469.929-5","33","Feminino"
"32","Leonardo Farias","445.507.684-0","46","Masculino"
"33","Mariana Borges","035.376.953-3","56","Feminino"
"34","Nathalia Ramos","720.763.100-6","62","Feminino"
"35","Otávio Cunha","745.382.271-8","50","Masculino"
"36","Paula Dias","051.741.024-9","57","Feminino"
"37","Renato Machado","344.968.801-4","56","Masculino"
"38","Simone Azevedo","834.328.106-3","38","Feminino"
"39","Tiago Cavalcanti","385.141.781-0","43","Masculino"
"40","Ursula Ferreira","991.631.222-2","31","Feminino"
"41","Vitor Campos","048.197.318-4","20","Masculino"
"42","Amanda Braga","039.169.565-7","18","Feminino"
"43","Breno Marques","492.699.432-1","36","Masculino"
"44","Camila Paiva","173.023.845-9","37","Feminino"
"45","Diego Bastos","800.792.284-9","47","Masculino"
"46","Elaine Godoy","758.595.278-3","31","Feminino"
"47","Felipe Andrade","243.972.956-6","52","Masculino"
"48","Giovana Vasconcelos","855.873.226-4","69","Feminino"
